Date : 2026-01-15 21:11:45
Directory : /Users/ndt/Desktop/DATN/frontend-app
Total : 466 files,  81324 codes, 535 comments, 3288 blanks, all 85147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/CrossModeSwitch/CrossModeSwitch.tsx                                              | TypeScript JSX     |         96 |          4 |          6 |        106 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/CustomForms/CustomTextField.tsx                                                  | TypeScript JSX     |         27 |          0 |          9 |         36 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/BoxCustom/BoxCustom.tsx                                                  | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/BoxOptionWallet/BoxOptionWallet.tsx                                      | TypeScript JSX     |        103 |          1 |          6 |        110 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/BoxSuspense/BoxSuspense.tsx                                              | TypeScript JSX     |         16 |          0 |          2 |         18 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/ButtonCustom/ButtonCustom.tsx                                            | TypeScript JSX     |         22 |          0 |          2 |         24 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/ButtonLoading/ButtonLoading.tsx                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/CustomBox/CustomBox.tsx                                                  | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/CustomSelect/CustomSelect.tsx                                            | TypeScript JSX     |         19 |          0 |          2 |         21 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/FormatSmallNumber/FormatSmallNumber.tsx                                  | TypeScript JSX     |         29 |          0 |          8 |         37 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/ToggleButtonGroupCustom/ToggleButtonGroupCustom.tsx                      | TypeScript JSX     |         69 |          4 |          7 |         80 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/TooltipInfo/TooltipInfo.tsx                                              | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/ValueWithStatus/ValueWithStatus.tsx                                      | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/General/WalletConnectIcon/WalletConnectIcon.tsx                                  | TypeScript JSX     |         16 |          0 |          6 |         22 |
| /Users/ndt/Desktop/DATN/frontend-app/src/components/Modals/ConnectSolanaNetwork/ConnectEVMNetwork.tsx                                | TypeScript JSX     |         87 |         21 |          8 |        116 |
